date,count
2016-11-10,18
2016-11-11,15
2016-11-12,11
2016-11-13,14
2016-11-14,23
2016-11-15,22
2016-11-16,15
2016-11-17,26
2016-11-18,30
2016-11-19,14
2016-11-20,15
2016-11-21,20
2016-11-22,22
2016-11-23,18
2016-11-24,22
2016-11-25,9
2016-11-26,3
2016-11-27,3
2016-11-28,11
2016-11-29,5
2016-11-30,9
2016-12-01,4
2016-12-02,6
2016-12-03,2
2016-12-04,2
2016-12-05,14
2016-12-06,13
2016-12-07,5
2016-12-08,6
2016-12-09,3
2016-12-10,1
2016-12-11,8
2016-12-12,5
2016-12-13,6
2016-12-14,6
2016-12-15,39
2016-12-16,11
2016-12-17,9
2016-12-18,3
2016-12-19,18
2016-12-20,11
2016-12-21,5
2016-12-22,14
2016-12-23,3
2016-12-24,6
2016-12-25,3
2016-12-26,1
2016-12-27,10
2016-12-28,11
2016-12-29,9
2016-12-30,8
2016-12-31,1
2017-01-01,2
2017-01-02,3
2017-01-03,9
2017-01-04,7
2017-01-05,6
2017-01-06,4
2017-01-07,1
2017-01-08,3
2017-01-09,8
2017-01-10,14
2017-01-11,10
2017-01-12,1
2017-01-13,2
2017-01-14,2
2017-01-15,3
2017-01-16,1
2017-01-17,7
2017-01-18,11
2017-01-19,110
2017-01-20,51
2017-01-21,60
2017-01-22,19
2017-01-23,58
2017-01-24,40
2017-01-25,26
2017-01-26,227
2017-01-27,225
2017-01-28,75
2017-01-29,50
2017-01-30,54
2017-01-31,141
2017-02-01,194
2017-02-02,74
2017-02-03,64
2017-02-04,62
2017-02-05,87
2017-02-06,66
2017-02-07,82
2017-02-08,125
2017-02-09,20
2017-02-10,10
2017-02-11,6
2017-02-12,5
2017-02-13,7
2017-02-14,6
2017-02-15,6
2017-02-16,4
2017-02-17,2
2017-02-18,7
2017-02-19,2
2017-02-20,4
2017-02-21,9
2017-02-22,12
2017-02-23,14
2017-02-24,0
2017-02-25,10
2017-02-26,1
2017-02-27,13
2017-02-28,144
2017-03-01,41
2017-03-02,9
2017-03-03,74
2017-03-04,32
2017-03-05,7
2017-03-06,4
2017-03-07,10
2017-03-08,15
2017-03-09,5
2017-03-10,4
2017-03-11,3
2017-03-12,6
2017-03-13,10
2017-03-14,7
2017-03-15,29
2017-03-16,274
2017-03-17,438
2017-03-18,72
2017-03-19,68
2017-03-20,243
2017-03-21,200
2017-03-22,297
2017-03-23,272
2017-03-24,117
2017-03-25,67
2017-03-26,82
2017-03-27,92
2017-03-28,14
2017-03-29,68
2017-03-30,55
2017-03-31,86
2017-04-01,76
2017-04-02,157
2017-04-03,59
2017-04-04,46
2017-04-05,38
2017-04-06,61
2017-04-07,60
2017-04-08,125
2017-04-09,102
2017-04-10,157
2017-04-11,98
2017-04-12,161
2017-04-13,54
2017-04-14,77
2017-04-15,73
2017-04-16,20
2017-04-17,57
2017-04-18,58
2017-04-19,103
2017-04-20,80
2017-04-21,45
2017-04-22,31
2017-04-23,17
2017-04-24,19
2017-04-25,32
2017-04-26,53
2017-04-27,525
2017-04-28,232
2017-04-29,91
2017-04-30,33
2017-05-01,129
2017-05-02,95
2017-05-03,120
2017-05-04,58
2017-05-05,75
2017-05-06,159
2017-05-07,123
2017-05-08,97
2017-05-09,9
2017-05-10,3
2017-05-11,4
2017-05-12,2
2017-05-13,0
2017-05-14,1
2017-05-15,12
2017-05-16,226
2017-05-17,218
2017-05-18,157
2017-05-19,116
2017-05-20,75
2017-05-21,117
2017-05-22,110
2017-05-23,41
2017-05-24,306
2017-05-25,111
2017-05-26,63
2017-05-27,93
2017-05-28,68
2017-05-29,35
2017-05-30,89
2017-05-31,67
2017-06-01,112
2017-06-02,78
2017-06-03,61
2017-06-04,34
2017-06-05,43
2017-06-06,54
2017-06-07,156
2017-06-08,73
2017-06-09,218
2017-06-10,35
2017-06-11,43
2017-06-12,39
2017-06-13,119
2017-06-14,78
2017-06-15,55
2017-06-16,55
2017-06-17,41
2017-06-18,35
2017-06-19,68
2017-06-20,56
2017-06-21,177
2017-06-22,197
2017-06-23,117
2017-06-24,37
2017-06-25,18
2017-06-26,85
2017-06-27,96
2017-06-28,66
2017-06-29,43
2017-06-30,68
2017-07-01,43
2017-07-02,30
2017-07-03,81
2017-07-04,60
2017-07-05,51
2017-07-06,70
2017-07-07,73
2017-07-08,240
2017-07-09,129
2017-07-10,141
