date,count
2016-12-21,5
2016-12-22,4
2016-12-23,6
2016-12-24,2
2016-12-25,0
2016-12-26,6
2016-12-27,8
2016-12-28,5
2016-12-29,1
2016-12-30,10
2016-12-31,2
2017-01-01,3
2017-01-02,6
2017-01-03,7
2017-01-04,9
2017-01-05,16
2017-01-06,10
2017-01-07,5
2017-01-08,4
2017-01-09,7
2017-01-10,6
2017-01-11,9
2017-01-12,4
2017-01-13,7
2017-01-14,2
2017-01-15,5
2017-01-16,2
2017-01-17,24
2017-01-18,48
2017-01-19,587
2017-01-20,653
2017-01-21,238
2017-01-22,378
2017-01-23,394
2017-01-24,419
2017-01-25,318
2017-01-26,244
2017-01-27,567
2017-01-28,301
2017-01-29,342
2017-01-30,251
2017-01-31,491
2017-02-01,904
2017-02-02,554
2017-02-03,493
2017-02-04,426
2017-02-05,703
2017-02-06,999
2017-02-07,928
2017-02-08,450
2017-02-09,61
2017-02-10,21
2017-02-11,6
2017-02-12,4
2017-02-13,2
2017-02-14,0
2017-02-15,3
2017-02-16,7
2017-02-17,4
2017-02-18,2
2017-02-19,4
2017-02-20,26
2017-02-21,11
2017-02-22,7
2017-02-23,43
2017-02-24,10
2017-02-25,318
2017-02-26,3
2017-02-27,207
2017-02-28,757
2017-03-01,233
2017-03-02,2
2017-03-03,213
2017-03-04,158
2017-03-05,2
2017-03-06,3
2017-03-07,6
2017-03-08,4
2017-03-09,7
2017-03-10,3
2017-03-11,3
2017-03-12,4
2017-03-13,5
2017-03-14,6
2017-03-15,127
2017-03-16,571
2017-03-17,257
2017-03-18,342
2017-03-19,453
2017-03-20,319
2017-03-21,792
2017-03-22,952
2017-03-23,421
2017-03-24,414
2017-03-25,745
2017-03-26,710
2017-03-27,523
2017-03-28,109
2017-03-29,849
2017-03-30,483
2017-03-31,433
2017-04-01,259
2017-04-02,229
2017-04-03,294
2017-04-04,262
2017-04-05,231
2017-04-06,399
2017-04-07,269
2017-04-08,314
2017-04-09,603
2017-04-10,4442
2017-04-11,9681
2017-04-12,963
2017-04-13,987
2017-04-14,787
2017-04-15,363
2017-04-16,245
2017-04-17,219
2017-04-18,799
2017-04-19,907
2017-04-20,630
2017-04-21,787
2017-04-22,1048
2017-04-23,573
2017-04-24,613
2017-04-25,648
2017-04-26,761
2017-04-27,519
2017-04-28,314
2017-04-29,1344
2017-04-30,781
2017-05-01,815
2017-05-02,440
2017-05-03,279
2017-05-04,583
2017-05-05,390
2017-05-06,338
2017-05-07,240
2017-05-08,305
2017-05-09,30
2017-05-10,5
2017-05-11,5
2017-05-12,5
2017-05-13,9
2017-05-14,3
2017-05-15,66
2017-05-16,1311
2017-05-17,1053
2017-05-18,360
2017-05-19,298
2017-05-20,262
2017-05-21,250
2017-05-22,310
2017-05-23,357
2017-05-24,261
2017-05-25,278
2017-05-26,502
2017-05-27,279
2017-05-28,239
2017-05-29,244
2017-05-30,355
2017-05-31,648
2017-06-01,395
2017-06-02,526
2017-06-03,339
2017-06-04,346
2017-06-05,275
2017-06-06,274
2017-06-07,259
2017-06-08,255
2017-06-09,198
2017-06-10,218
2017-06-11,287
2017-06-12,268
2017-06-13,1888
2017-06-14,2067
2017-06-15,633
2017-06-16,869
2017-06-17,986
2017-06-18,559
2017-06-19,348
2017-06-20,432
2017-06-21,512
2017-06-22,581
2017-06-23,578
2017-06-24,398
2017-06-25,391
2017-06-26,462
2017-06-27,1260
2017-06-28,1060
2017-06-29,714
2017-06-30,379
2017-07-01,430
2017-07-02,475
2017-07-03,462
2017-07-04,395
2017-07-05,575
2017-07-06,491
2017-07-07,345
2017-07-08,453
2017-07-09,977
2017-07-10,726
2017-07-11,364
2017-07-12,483
2017-07-13,446
2017-07-14,2578
2017-07-15,846
2017-07-16,221
2017-07-17,532
2017-07-18,387
2017-07-19,586
2017-07-20,965
2017-07-21,544
2017-07-22,420
2017-07-23,347
2017-07-24,525
2017-07-25,0
2017-07-26,288
2017-07-27,382
2017-07-28,388
2017-07-29,346
2017-07-30,346
2017-07-31,463
2017-08-01,425
2017-08-02,265
2017-08-03,960
2017-08-04,1183
2017-08-05,1473
2017-08-06,1176
2017-08-07,584
2017-08-08,313
2017-08-09,515
2017-08-10,12
2017-08-11,537
2017-08-12,403
2017-08-13,337
2017-08-14,365
2017-08-15,378
2017-08-16,10604
2017-08-17,8599
2017-08-18,576
2017-08-19,313
2017-08-20,330
2017-08-21,1416
2017-08-22,1270
2017-08-23,126
2017-08-24,18
2017-08-25,20
2017-08-26,27
2017-08-27,12
2017-08-28,42
2017-08-29,7
2017-08-30,6
2017-08-31,17
2017-09-01,24
2017-09-02,23
2017-09-03,20
2017-09-04,22
2017-09-05,22
2017-09-06,30
2017-09-07,24
2017-09-08,22
2017-09-09,28
2017-09-10,19
2017-09-11,16
2017-09-12,29
2017-09-13,3
2017-09-14,4
2017-09-15,9
2017-09-16,25
2017-09-17,26
2017-09-18,26
2017-09-19,43
2017-09-20,37
2017-09-21,40
2017-09-22,52
2017-09-23,36
2017-09-24,25
